Rank,Team,RPI,W,L,PCT,SOS,PWR,PF,PA,Signed,Active,Dead,Total
1,BOS,0.566,64,18,0.78,0.494,0,9887,8957,15,"$176,045,537 ","$92,857 ",178678682
2,OKC,0.533,57,25,0.695,0.505,0,9847,9239,15,"$107,011,265 ","$32,857,473 ",155214048
3,DEN,0.551,57,25,0.695,0.503,0,9418,8987,15,"$179,243,682 ",$0 ,179243682
4,MIN,0.55,56,26,0.683,0.505,0,9264,8735,15,"$158,150,322 ","$301,866 ",163986671
5,LAC,0.535,51,31,0.622,0.506,0,9481,9212,15,"$198,251,689 ","$1,764,341 ",201729689
6,DAL,0.53,50,32,0.61,0.503,0,9664,9483,15,"$144,994,607 ","$2,348,324 ",165526665
7,NOP,0.529,49,33,0.598,0.506,0,9436,9074,15,"$165,883,366 ","$244,761 ",168873714
8,LAL,0.528,48,35,0.578,0.511,0,9679,9630,15,"$168,055,994 ",$0 ,168055994
9,PHX,0.527,49,33,0.598,0.503,0,9532,9281,15,"$179,597,553 ","$3,343,131 ",188506866
10,NYK,0.526,50,32,0.61,0.499,0,9249,8873,15,"$130,297,617 ","$2,769,320 ",159536992
11,SAC,0.526,46,36,0.561,0.514,0,9558,9415,15,"$146,177,965 ","$2,770,159 ",148948124
12,MIL,0.523,49,33,0.598,0.498,0,9756,9541,15,"$183,381,323 ",$0 ,187160029
13,GSW,0.52,46,36,0.561,0.506,0,9657,9443,15,"$207,504,919 ",$0 ,209488921
14,CLE,0.525,48,34,0.585,0.492,0,9236,9038,15,"$160,822,595 ","$4,186,198 ",165008793
15,IND,0.514,47,36,0.566,0.497,0,10110,9860,15,"$100,234,015 ","$16,604,715 ",140576452
16,PHI,0.511,47,35,0.573,0.49,0,9395,9147,15,"$149,701,789 ","$3,466,830 ",175609650
17,ORL,0.511,47,35,0.573,0.49,0,9058,8893,15,"$130,964,229 ",$0 ,130964229
18,MIA,0.506,46,36,0.561,0.487,0,9032,8888,15,"$161,314,092 ","$1,801,769 ",178639488
19,HOU,0.504,41,41,0.5,0.505,0,9375,9283,15,"$145,277,420 ","$1,900,000 ",152662765
20,CHI,0.487,39,43,0.476,0.491,0,9206,9324,15,"$162,202,667 ","$2,144,131 ",164346798
21,ATL,0.48,36,46,0.439,0.493,0,9703,9880,15,"$150,532,796 ","$6,802,950 ",157335746
22,UTA,0.477,31,51,0.378,0.511,0,9484,9885,15,"$119,795,816 ","$3,279,684 ",127501562
23,BRK,0.468,32,50,0.39,0.494,0,9051,9287,15,"$130,039,843 ","$5,930,754 ",147675031
24,MEM,0.46,27,55,0.329,0.504,0,8677,9251,15,"$132,520,160 ","$19,204,082 ",161912476
25,SAS,0.45,22,60,0.268,0.511,0,9192,9724,15,"$94,287,665 ","$35,471,874 ",138294022
26,TOR,0.447,25,57,0.305,0.494,0,9213,9741,15,"$106,596,417 ","$9,663,353 ",162459084
27,POR,0.446,21,61,0.256,0.509,0,8722,9462,15,"$156,497,682 ","$6,289,938 ",164562619
28,CHA,0.435,21,61,0.256,0.494,0,8740,9580,15,"$69,566,398 ","$26,519,124 ",140049978
29,WAS,0.415,15,67,0.183,0.492,0,9237,10089,15,"$119,012,072 ","$16,173,925 ",147738573
30,DET,0.413,14,68,0.171,0.494,0,9010,9757,15,"$64,532,942 ","$40,596,585 ",138155838
